INFO : Data(edge_index=[2, 90328], edge_type=[90328], node_types=[71882], num_relations=[1], x=[71882, 300])
INFO : Graph-data object loaded, model initialized. Moving them to GPU device(s) if present.
INFO : Loading graphArea matrix, with area_size=32 from: Graph/nodes_32_graphArea_matrix.npy
INFO : NumExpr defaulting to 8 threads.
INFO : 
Training epoch n.1:
INFO : Preliminary: reading the dataset to determine the number of samples
INFO : Generator over subcorpus at TextCorpuses/ufsac-public-2.1/Training/semcor.xml
INFO : Generator over subcorpus at TextCorpuses/ufsac-public-2.1/Training/semcor.xml
INFO : t1 - t0 = 0.31879
INFO : t1 - t0 = 0.0994
INFO : t1 - t0 = 0.10171
INFO : t1 - t0 = 0.09634
INFO : t1 - t0 = 0.1619
INFO : t1 - t0 = 0.10601
INFO : t1 - t0 = 0.1193
INFO : t1 - t0 = 0.16144
INFO : t1 - t0 = 0.1243
INFO : t1 - t0 = 0.13596
INFO : t1 - t0 = 0.12979
INFO : t1 - t0 = 0.14951
INFO : t1 - t0 = 0.10943
INFO : t1 - t0 = 0.17247
INFO : t1 - t0 = 0.1439
INFO : t1 - t0 = 0.12012
INFO : t1 - t0 = 0.1197
INFO : t1 - t0 = 0.1631
INFO : t1 - t0 = 0.10324
INFO : t1 - t0 = 0.10317
INFO : t1 - t0 = 0.12668
INFO : t1 - t0 = 0.11575
INFO : t1 - t0 = 0.11196
INFO : t1 - t0 = 0.11051
INFO : t1 - t0 = 0.12015
INFO : t1 - t0 = 0.14783
INFO : t1 - t0 = 0.14032
INFO : t1 - t0 = 0.1475
INFO : t1 - t0 = 0.13809
INFO : t1 - t0 = 0.13097
INFO : t1 - t0 = 0.1169
INFO : t1 - t0 = 0.10876
INFO : t1 - t0 = 0.14907
INFO : t1 - t0 = 0.122
INFO : t1 - t0 = 0.1428
INFO : t1 - t0 = 0.13754
INFO : t1 - t0 = 0.13222
INFO : t1 - t0 = 0.16253
INFO : t1 - t0 = 0.12139
INFO : t1 - t0 = 0.14736
INFO : t1 - t0 = 0.14246
INFO : t1 - t0 = 0.1649
INFO : t1 - t0 = 0.13081
INFO : t1 - t0 = 0.13186
INFO : t1 - t0 = 0.17247
INFO : t1 - t0 = 0.12847
INFO : t1 - t0 = 0.12238
INFO : t1 - t0 = 0.15531
INFO : t1 - t0 = 0.1188
INFO : t1 - t0 = 0.1655
INFO : t1 - t0 = 0.11471
INFO : t1 - t0 = 0.15944
INFO : t1 - t0 = 0.15338
INFO : t1 - t0 = 0.13972
INFO : t1 - t0 = 0.12789
INFO : t1 - t0 = 0.15611
INFO : t1 - t0 = 0.14457
INFO : t1 - t0 = 0.15359
INFO : t1 - t0 = 0.15292
INFO : t1 - t0 = 0.12075
INFO : t1 - t0 = 0.1173
INFO : Iteration time=0.13203
INFO : Logging point n.1 ; Global step=62 ; Training nll_loss= tensor(8.5304, grad_fn=<AddBackward0>)
