,0,1
0,b'Krak_des Chevaliers',1553.1105457909343
1,b'Light_Horse Brigade',212.38614800759015
2,b'tropical wave',347.76293304334314
3,"b""I_ 'm""",3839.31748766544
4,b'New_York Times',224.7683443835267
5,b'Recording_Industry Association',156.7612044817927
6,b'\xe2\x80\x99 _t',479.640342822161
7,b'km_/ h',1921.8176487145809
8,b'R_ &',846.2565256525653
9,b'Rio_de Janeiro',3211.034836065574
10,b'\xe2\x80\x99 _s',1499.322588226078
11,b'17th century',154.35910205332516
12,b'United Nations',269.6236073471846
13,b'World_War II',344.1752125582325
